id,name,sport,year,brand,setName,source,searchText,displayName
221748,Taggz,Unknown,Unknown,Unknown,Taggz,getcardbase,unknown unknown unknown taggz,Unknown Unknown Unknown Taggz
230657,Action Packed NFLPA/MDA Awards,Football,Unknown,Unknown,Action Packed NFLPA/MDA Awards,getcardbase,football unknown unknown action packed nflpa/mda awards,Football Unknown Unknown Action Packed NFLPA/MDA Awards
291898,Score Dallas Cowboys,Unknown,Unknown,Score,Dallas Cowboys,getcardbase,unknown unknown score dallas cowboys,Unknown Unknown Score Dallas Cowboys
164685,Topps Football Festival by Steve Aoki UEFA Champions League,Football,Unknown,Topps,Football Festival by Steve Aoki UEFA Champions League,getcardbase,football unknown topps football festival by steve aoki uefa champions league,Football Unknown Topps Football Festival by Steve Aoki UEFA Champions League
247884,MVP Baseball All-Star Card Game,Baseball,Unknown,Unknown,MVP All-Star Card Game,getcardbase,baseball unknown unknown mvp all-star card game,Baseball Unknown Unknown MVP All-Star Card Game
252438,TCMA 1962 San Francisco Giants,Unknown,1962,Unknown,TCMA 1962 San Francisco Giants,getcardbase,unknown 1962 unknown tcma 1962 san francisco giants,Unknown 1962 Unknown TCMA 1962 San Francisco Giants
230345,Star Greenville Braves,Unknown,Unknown,Unknown,Star Greenville Braves,getcardbase,unknown unknown unknown star greenville braves,Unknown Unknown Unknown Star Greenville Braves
162709,Stadium Club Ultra-Pro,Unknown,Unknown,Unknown,Stadium Club Ultra-Pro,getcardbase,unknown unknown unknown stadium club ultra-pro,Unknown Unknown Unknown Stadium Club Ultra-Pro
223797,Choice Yuma Scorpions,Unknown,Unknown,Unknown,Choice Yuma Scorpions,getcardbase,unknown unknown unknown choice yuma scorpions,Unknown Unknown Unknown Choice Yuma Scorpions
230130,Collegiate Collection Alabama Coke 20,Unknown,Unknown,Unknown,Collegiate Collection Alabama Coke 20,getcardbase,unknown unknown unknown collegiate collection alabama coke 20,Unknown Unknown Unknown Collegiate Collection Alabama Coke 20
326619,Leaf Rookie Clear,Unknown,Unknown,Leaf,Rookie Clear,getcardbase,unknown unknown leaf rookie clear,Unknown Unknown Leaf Rookie Clear
223013,Sport-Flash,Unknown,Unknown,Unknown,Sport-Flash,getcardbase,unknown unknown unknown sport-flash,Unknown Unknown Unknown Sport-Flash
227500,Kiddy's Favourites Popular Boxers,Unknown,Unknown,Unknown,Kiddy's Favourites Popular Boxers,getcardbase,unknown unknown unknown kiddy's favourites popular boxers,Unknown Unknown Unknown Kiddy's Favourites Popular Boxers
221425,NHL Power Play Stickers,Hockey,Unknown,Unknown,NHL Power Play Stickers,getcardbase,hockey unknown unknown nhl power play stickers,Hockey Unknown Unknown NHL Power Play Stickers
330176,ProCards Syracuse Chiefs,Unknown,Unknown,Unknown,ProCards Syracuse Chiefs,getcardbase,unknown unknown unknown procards syracuse chiefs,Unknown Unknown Unknown ProCards Syracuse Chiefs
332642,Topps WWE Slam Attax Mayhem,Baseball,Unknown,Topps,WWE Slam Attax Mayhem,getcardbase,baseball unknown topps wwe slam attax mayhem,Baseball Unknown Topps WWE Slam Attax Mayhem
221324,Canada Post NHL All-Stars,Hockey,Unknown,Unknown,Canada Post NHL All-Stars,getcardbase,hockey unknown unknown canada post nhl all-stars,Hockey Unknown Unknown Canada Post NHL All-Stars
254229,'Cool Papa' Comments,Unknown,Unknown,Unknown,'Cool Papa' Comments,getcardbase,unknown unknown unknown 'cool papa' comments,Unknown Unknown Unknown 'Cool Papa' Comments
230232,Philadelphia Phillies Photocards 2nd Edition,Unknown,Unknown,Unknown,Philadelphia Phillies Photocards 2nd Edition,getcardbase,unknown unknown unknown philadelphia phillies photocards 2nd edition,Unknown Unknown Unknown Philadelphia Phillies Photocards 2nd Edition
236865,Topps Coca-Cola Detroit Tigers,Baseball,Unknown,Topps,Coca-Cola Detroit Tigers,getcardbase,baseball unknown topps coca-cola detroit tigers,Baseball Unknown Topps Coca-Cola Detroit Tigers
232220,Canada Post Great Canadian Goalies,Unknown,Unknown,Unknown,Canada Post Great Canadian Goalies,getcardbase,unknown unknown unknown canada post great canadian goalies,Unknown Unknown Unknown Canada Post Great Canadian Goalies
260495,Cleveland Indians Small Picture Pack,Unknown,Unknown,Unknown,Cleveland Indians Small Picture Pack,getcardbase,unknown unknown unknown cleveland indians small picture pack,Unknown Unknown Unknown Cleveland Indians Small Picture Pack
611214,Comic Images WWE Raw Deal: No Way Out,Wrestling,Unknown,Unknown,Comic Images WWE Raw Deal: No Way Out,getcardbase,wrestling unknown unknown comic images wwe raw deal: no way out,Wrestling Unknown Unknown Comic Images WWE Raw Deal: No Way Out
322284,Panini Ligue 1 Adrenalyn XL Update Edition,Multi-Sport,Unknown,Panini,Ligue 1 Adrenalyn XL Update Edition,getcardbase,multi-sport unknown panini ligue 1 adrenalyn xl update edition,Multi-Sport Unknown Panini Ligue 1 Adrenalyn XL Update Edition
337797,Topps Borussia Dortmund,Baseball,Unknown,Topps,Borussia Dortmund,getcardbase,baseball unknown topps borussia dortmund,Baseball Unknown Topps Borussia Dortmund
306228,KDKA Pittsburgh Steelers,Unknown,Unknown,Unknown,KDKA Pittsburgh Steelers,getcardbase,unknown unknown unknown kdka pittsburgh steelers,Unknown Unknown Unknown KDKA Pittsburgh Steelers
317230,Panini Baylor Bears,Multi-Sport,Unknown,Panini,Baylor Bears,getcardbase,multi-sport unknown panini baylor bears,Multi-Sport Unknown Panini Baylor Bears
334979,Zalgiris Kaunas Team Set,Unknown,Unknown,Unknown,Zalgiris Kaunas Team Set,getcardbase,unknown unknown unknown zalgiris kaunas team set,Unknown Unknown Unknown Zalgiris Kaunas Team Set
234713,Donruss Timelines,Unknown,Unknown,Donruss,Timelines,getcardbase,unknown unknown donruss timelines,Unknown Unknown Donruss Timelines
250814,TCMA Miami Marlins,Unknown,Unknown,Unknown,TCMA Miami Marlins,getcardbase,unknown unknown unknown tcma miami marlins,Unknown Unknown Unknown TCMA Miami Marlins
