ID,Title,Summary Title,Sport,Year,Brand,Set Name,Card Type,Condition,Grade,Raw Avg Price,PSA 9 Avg Price,PSA 10 Price,eBay Item ID,Image URL,Search Term,Source,Created At,Last Updated,Notes
33,"2023-24 Panini Select Tyrese Maxey Cosmic Prizm #157 PSA 10 76ers SSP","2023-24 Panini Select Tyrese Maxey Cosmic Prizm 157 SSP",Basketball,2023,Panini,Select,Base,Raw,PSA 10,N/A,30.66,129.99,205588549872,https://i.ebayimg.com/images/g/8S4AAeSwRploYTGQ/s-l225.jpg,Panini Prizm PSA 10,130point_test,2025-08-10 02:06:30,2025-08-10 02:06:40,N/A
32,"2020 Panini Prizm Lazer: #307 Joe Burrow PSA 10 GEM MINT","2020 Panini Prizm Lazer 307 Joe Burrow",Basketball,2020,Panini,Prizm,Base,Raw,PSA 10,N/A,N/A,380.65,326710888888,https://i.ebayimg.com/images/g/5YQAAeSwKLBoip6p/s-l225.jpg,Panini Prizm PSA 10,130point_test,2025-08-10 02:06:24,2025-08-10 02:06:24,N/A
31,"2024 Panini Prizm Copa America #DS-CR Cafu Rivaldo Dual Pulsar Auto PSA 10","2024 Panini Prizm Copa America DS-CR Cafu Rivaldo Dual Pulsar Auto",Basketball,2024,Panini,Prizm,Autograph,Raw,PSA 10,N/A,N/A,280,256882394206,https://i.ebayimg.com/images/g/i78AAOSwy95n0bZc/s-l225.jpg,Panini Prizm PSA 10,130point_test,2025-08-10 02:06:14,2025-08-10 02:06:14,N/A
30,"2024 Panini Donruss Football JJ McCarthy Bomb Squad Insert RC #5 PSA 10","2024 Panini Donruss Football JJ McCarthy Bomb Squad Insert RC #5",Football,2024,Panini,Base,Rookie,Raw,PSA 10,N/A,N/A,42,406105096012,https://i.ebayimg.com/images/g/2vkAAeSwMHxodnDG/s-l225.jpg,PSA 10 football,130point_auto,2025-08-10 01:35:49,2025-08-10 01:35:49,N/A
29,"Patrick Mahomes II 2022 Obsidian Football Electric Etch Yellow 14/25 PSA 10","Patrick Mahomes II 2022 Obsidian Football Electric Etch Yellow 14/25",Football,2022,Unknown,Unknown,Base,Raw,PSA 10,N/A,N/A,179.5,146747676090,https://i.ebayimg.com/images/g/pq4AAOSwSrZkvyS2/s-l225.jpg,PSA 10 football,130point_auto,2025-08-10 01:35:38,2025-08-10 01:35:38,N/A
28,"2019 Panini Prizm #152 Giannis Antetokounmpo Basketball Card PSA 10 Gem Mint","2019 Panini Prizm #152 Giannis Antetokounmpo Basketball Card Gem Mint",Basketball,2019,Panini,Prizm,Base,Raw,PSA 10,N/A,N/A,25,297517884726,https://i.ebayimg.com/images/g/2YAAAOSwbnBnVe0x/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:35:21,2025-08-10 01:35:21,N/A
27,"1992 Topps #362 Shaquille O'Neal Rookie Orlando Magic Basketball Card PSA 10","1992 Topps #362 Shaquille O'Neal Rookie Orlando Magic Basketball Card",Basketball,1992,Topps,Base,Rookie,Raw,PSA 10,N/A,19.99,107.5,297517889338,https://i.ebayimg.com/images/g/PEYAAOSwSjFjrcQr/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:35:10,2025-08-10 01:35:21,N/A
26,"2019 Panini Hoops #204 Coby White Chicago Bulls Basketball Card PSA 10 Gem Mint","2019 Panini Hoops #204 Coby White Chicago Bulls Basketball Card Gem Mint",Basketball,2019,Panini,Base,Base,Raw,PSA 10,N/A,N/A,7.99,365777706686,https://i.ebayimg.com/images/g/A3YAAOSwAxhoUzs1/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:35:00,2025-08-10 01:35:00,N/A
25,"2019 Panini Donruss #94 Lebron James Los Angeles Lakers Basketball Card PSA 10","2019 Panini Donruss #94 Lebron James Los Angeles Lakers Basketball Card",Basketball,2019,Panini,Base,Base,Raw,PSA 10,N/A,N/A,30,365777706689,https://i.ebayimg.com/images/g/IAQAAOSw4v1oCWgE/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:34:53,2025-08-10 01:34:53,N/A
24,"LeBron James 2024 Topps Now #30 Olympic Games Team USA Men’s Basketball PSA 10","LeBron James 2024 Topps Now #30 Olympic Games Team USA Men’s Basketball",Basketball,2024,Topps,Base,Base,Raw,PSA 10,N/A,N/A,11.01,376451946374,https://i.ebayimg.com/images/g/2yEAAeSwErlojkMV/s-l225.jpg,PSA 10 basketball,130point_auto,2025-08-10 01:34:43,2025-08-10 01:34:43,N/A
